Posto,Município,Região,Normal (mm),Observado (mm),Desvio (%)
PARACURU,Paracuru,LITORAL DE PECEM,1290.7,1658.7,28.5
SIUPE,São Gonçalo do Amarante,LITORAL DE PECEM,0,1649.4,0
TRAIRI,Trairi,LITORAL DE PECEM,1139.4,1638,43.8
PICI,Fortaleza,LITORAL DE FORTALEZA,1372.8,1585.3,15.5
IBIAPINA,Ibiapina,IBIAPABA,1599.6,1486.6,-7.1
SANTO AMARO,São Gonçalo do Amarante,LITORAL DE PECEM,0,1482,0
CASTELAO,Fortaleza,LITORAL DE FORTALEZA,1361.8,1450.9,6.6
FUND.MA.NILVA(AGUA FRIA),Fortaleza,LITORAL DE FORTALEZA,1375.3,1382.2,0.5
EUSEBIO,Eusébio,LITORAL DE FORTALEZA,1408.2,1364,-3.1
CAUCAIA,Caucaia,LITORAL DE FORTALEZA,1307.3,1325.6,1.4
PARAIPABA,Paraipaba,LITORAL DE PECEM,1203.3,1324.8,10.1
MESSEJANA,Fortaleza,LITORAL DE FORTALEZA,1200.1,1248.7,4.1
SEDE,São Gonçalo do Amarante,LITORAL DE PECEM,0,1239.9,0
ICARAI DE AMONTADA,Amontada,LITORAL NORTE,944.2,1235,30.8
MERUOCA,Meruoca,LITORAL NORTE,1523.5,1219,-20
PACOTI,Pacoti,MACICO DE BATURITE,1453.1,1171.4,-19.4
SAO BENEDITO,São Benedito,IBIAPABA,1322.6,1154.2,-12.7
MUSEU RODOLFO TEOFILO,Maracanaú,LITORAL DE FORTALEZA,26.2,1147.6,4280.2
AQUIRAZ,Aquiraz,LITORAL DE FORTALEZA,1401.3,1142.1,-18.5
CAGADO,São Gonçalo do Amarante,LITORAL DE PECEM,0,1140,0
SITIO SAPUCAIA FAGUNDES,Aquiraz,LITORAL DE FORTALEZA,0,1129,0
VICOSA DO CEARA,Viçosa do Ceará,IBIAPABA,1472.8,1125,-23.6
MARACANAU,Maracanaú,LITORAL DE FORTALEZA,1162.7,1124,-3.3
TIMONHA,Granja,LITORAL NORTE,1303.7,1119,-14.2
ARACATIARA,Amontada,LITORAL NORTE,621.6,1110,78.6
CROATA,São Gonçalo do Amarante,LITORAL DE PECEM,375.9,1087.2,189.2
GUARAMIRANGA,Guaramiranga,MACICO DE BATURITE,1627.4,1085.9,-33.3
NOVO MARACANAU,Maracanaú,LITORAL DE FORTALEZA,0,1082,0
FAZENDA LAGOA DAS MERCES,Itapipoca,LITORAL DE PECEM,756,1075.3,42.2
PARQUE SAO JOAO,Maracanaú,LITORAL DE FORTALEZA,0,1058.4,0
ESCOLA PROF LUIZA TEODORO,Pacatuba,LITORAL DE FORTALEZA,0,1057,0
ITAREMA,Itarema,LITORAL NORTE,1137.6,1046,-8.1
PESSOA ANTA,Granja,LITORAL NORTE,1082,1044,-3.5
ACARAU,Acaraú,LITORAL NORTE,1083.6,1043,-3.7
VARZEA ALEGRE,Várzea Alegre,CARIRI,992.1,1033.2,4.2
FAZENDA LAGES,Trairi,LITORAL DE PECEM,1431.3,1012,-29.3
PALMACIA,Palmácia,MACICO DE BATURITE,1349.6,1006.9,-25.4
BARROQUINHA,Barroquinha,LITORAL NORTE,940,1004.3,6.8
UBAJARA,Ubajara,IBIAPABA,1462.6,988,-32.5
GRACA,Graça,IBIAPABA,1033.3,986,-4.6
GRANJEIRO,Granjeiro,CARIRI,967.6,978.8,1.2
LAMEIRO,Crato,CARIRI,1132.4,968,-14.5
ARANAU,Acaraú,LITORAL NORTE,906.8,965.9,6.5
AMERICA,Ipueiras,IBIAPABA,877.9,964.2,9.8
ARAPARI,Itapipoca,LITORAL DE PECEM,1021.8,962.5,-5.8
MANHOSO,Viçosa do Ceará,IBIAPABA,1105.7,957.4,-13.4
CHACARA PEDRO HENRIQUE,Palmácia,MACICO DE BATURITE,0,956.4,0
PINDORETAMA,Pindoretama,LITORAL DE FORTALEZA,1114.8,955,-14.3
CASCAVEL,Cascavel,LITORAL DE FORTALEZA,1171.1,952.9,-18.6
ITAPIPOCA,Itapipoca,LITORAL DE PECEM,1052.2,952.2,-9.5
VILA ANTONICO,Quixelô,SERTAO CENTRAL E INHAMUNS,767.4,944.1,23
IGUATU,Iguatu,SERTAO CENTRAL E INHAMUNS,967,929,-3.9
MARTINOPOLE,Martinópole,LITORAL NORTE,1010.7,925,-8.5
LAGOA DO CARNEIRO,Acaraú,LITORAL NORTE,849.5,922.8,8.6
TIANGUA,Tianguá,IBIAPABA,1253.5,922.5,-26.4
ACUDE ACARAPE DO MEIO,Redenção,MACICO DE BATURITE,0,919.6,0
GUARACIABA DO NORTE,Guaraciaba do Norte,IBIAPABA,1247,913,-26.8
PICADA,Guaraciaba do Norte,IBIAPABA,919.1,896.5,-2.5
SANTA CRUZ,Itapajé,LITORAL DE PECEM,1150.4,895.6,-22.2
MARANGUAPE,Maranguape,LITORAL DE FORTALEZA,1126,885.5,-21.4
CAMOCIM,Camocim,LITORAL NORTE,1105.6,874,-21
PARACUA,Uruoca,LITORAL NORTE,961.8,871.6,-9.4
ARATUBA,Aratuba,MACICO DE BATURITE,1141.9,871.5,-23.7
MATRIZ,Ipueiras,IBIAPABA,1034.4,864.2,-16.5
OLHO DAGUA,Maranguape,LITORAL DE FORTALEZA,0,862.3,0
CAMPANARIO,Uruoca,LITORAL NORTE,1000,858,-14.2
PALESTINA,Orós,JAGUARIBANA,707.9,856.6,21
